Date,Open,High,Low,Close,Adj Close,Volume
2018-11-16,49.910000,50.814999,49.389999,50.560001,50.560001,608200
2018-11-19,50.439999,51.200001,49.230000,50.220001,50.220001,647800
2018-11-20,49.430000,51.099998,48.910000,50.560001,50.560001,721800
2018-11-21,50.889999,51.910000,50.560001,51.270000,51.270000,464000
2018-11-23,50.970001,52.209999,50.910000,51.349998,51.349998,249900
2018-11-26,51.840000,52.189999,50.799999,51.130001,51.130001,1035200
2018-11-27,50.799999,51.650002,50.560001,50.990002,50.990002,640000
2018-11-28,51.060001,52.540001,51.060001,52.189999,52.189999,1230600
2018-11-29,52.180000,53.599998,51.820000,53.250000,53.250000,729100
2018-11-30,52.939999,55.770000,52.799999,55.549999,55.549999,1123700
2018-12-03,55.549999,55.980000,51.509998,51.590000,51.590000,1367700
2018-12-04,51.669998,52.529999,49.630001,49.799999,49.799999,883400
2018-12-06,49.470001,49.520000,48.020000,49.470001,49.470001,721800
2018-12-07,49.639999,50.480000,47.689999,47.930000,47.930000,614900
2018-12-10,48.000000,48.520000,46.750000,47.599998,47.599998,823100
2018-12-11,48.139999,48.567001,46.150002,46.709999,46.709999,444800
2018-12-12,45.860001,46.910000,45.389999,45.910000,45.910000,591000
2018-12-13,46.250000,46.549999,45.580002,46.349998,46.349998,425300
2018-12-14,45.860001,47.080002,45.540001,45.759998,45.759998,530200
2018-12-17,45.650002,46.560001,45.020000,45.750000,45.750000,757900
2018-12-18,46.410000,46.430000,44.939999,45.080002,45.080002,532500
2018-12-19,45.669998,46.290001,44.700001,45.549999,45.549999,637500
2018-12-20,45.119999,45.330002,43.070000,43.560001,43.560001,597300
2018-12-21,43.570000,44.220001,42.320000,42.480000,42.480000,829000
2018-12-24,41.939999,42.330002,40.820000,41.009998,41.009998,448800
2018-12-26,41.490002,43.320000,40.669998,43.209999,43.209999,831700
2018-12-27,42.939999,43.849998,41.529999,43.580002,43.580002,688200
2018-12-28,43.720001,44.915001,43.200001,43.509998,43.509998,683000
2018-12-31,43.750000,45.560001,43.459999,45.419998,45.419998,666400
2019-01-02,44.660000,45.189999,43.520000,44.549999,44.549999,689500
2019-01-03,44.279999,44.455002,43.183998,43.810001,43.810001,426100
2019-01-04,44.480000,46.470001,44.188000,46.279999,46.279999,687900
2019-01-07,46.500000,48.630001,45.599998,48.060001,48.060001,567400
2019-01-08,48.650002,49.480000,47.470001,49.040001,49.040001,762300
2019-01-09,49.180000,50.410000,48.580002,49.320000,49.320000,486600
2019-01-10,48.980000,50.369999,48.549999,50.240002,50.240002,559600
2019-01-11,49.770000,50.930000,49.639999,50.790001,50.790001,658900
2019-01-14,50.650002,51.610001,50.290001,50.680000,50.680000,445500
2019-01-15,50.700001,51.000000,47.930000,48.590000,48.590000,960100
2019-01-16,48.450001,48.599998,46.349998,46.740002,46.740002,1411600
2019-01-17,46.919998,47.459999,45.939999,46.570000,46.570000,1536400
2019-01-18,46.590000,49.799999,46.259998,49.389999,49.389999,1245000
2019-01-22,48.549999,49.200001,46.340000,46.830002,46.830002,608100
2019-01-23,47.180000,48.650002,46.830002,47.389999,47.389999,467600
2019-01-24,47.400002,48.450001,47.200001,47.910000,47.910000,379500
2019-01-25,47.779999,48.650002,47.549999,48.250000,48.250000,571000
2019-01-28,47.709999,50.099998,47.709999,49.660000,49.660000,665800
2019-01-29,49.110001,49.500000,47.560001,48.209999,48.209999,502000
2019-01-30,48.230000,49.220001,47.990002,48.360001,48.360001,391000
2019-01-31,48.360001,48.520000,47.290001,47.759998,47.759998,523500
2019-02-01,47.889999,48.580002,47.509998,48.090000,48.090000,353100
2019-02-04,48.070000,50.720001,48.020000,50.310001,50.310001,741200
